               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10636,            0.031938,            0.039255,           0.0086143,             0.16158,           0.0041875,            0.000791,            0.079498,            0.020812,            0.033891,             0.00026,             0.00026,             0.09766
                   1,            0.079703,            0.033249,            0.033072,             0.20649,             0.34159,             0.16746,            0.061293,            0.056726,            0.018497,            0.029759,          0.00052997,          0.00052997,             0.09523
                   2,            0.062416,            0.031847,            0.029432,             0.40279,             0.73006,             0.47182,             0.24692,            0.045407,            0.015223,            0.028286,          0.00079982,          0.00079982,              0.0928
                   3,             0.05385,            0.027911,            0.027267,             0.54742,             0.57076,             0.48254,             0.24728,             0.03823,            0.012264,            0.025989,           0.0010695,           0.0010695,            0.090369
                   4,            0.049426,            0.023962,            0.025174,             0.41662,             0.65041,             0.50179,             0.30051,            0.035118,            0.010263,            0.026035,           0.0013388,           0.0013388,            0.087939
                   5,            0.047575,            0.021809,            0.023769,             0.53915,             0.72033,             0.64573,             0.40256,            0.031692,           0.0090422,            0.022924,           0.0016078,           0.0016078,            0.085508
                   6,            0.045113,            0.020564,            0.021158,             0.53128,             0.81617,             0.66634,             0.43356,            0.030049,           0.0085029,            0.018474,           0.0018762,           0.0018762,            0.083076
                   7,            0.043504,            0.019337,            0.018922,             0.57093,             0.77241,               0.771,             0.50191,            0.031926,           0.0078438,            0.014592,           0.0021442,           0.0021442,            0.080644
                   8,            0.042732,            0.018722,            0.016579,             0.58888,             0.78854,             0.73154,             0.40331,            0.032779,           0.0086196,            0.012245,           0.0024114,           0.0024114,            0.078211
                   9,            0.041155,            0.017773,            0.013905,             0.89955,             0.80535,             0.91439,             0.56332,            0.028381,           0.0070337,           0.0082811,           0.0026779,           0.0026779,            0.075778
                  10,            0.040399,            0.016737,            0.010999,             0.88348,             0.89001,             0.92286,             0.59925,            0.030613,           0.0068355,           0.0058436,           0.0029436,           0.0029436,            0.073344
                  11,            0.039733,            0.017077,           0.0088918,             0.92494,             0.89026,              0.9541,             0.60216,            0.030179,           0.0059092,           0.0048109,           0.0032084,           0.0032084,            0.070908
                  12,            0.041628,            0.016335,            0.007657,              0.7837,             0.76486,             0.84768,             0.55981,            0.036601,           0.0062379,           0.0047186,           0.0034721,           0.0034721,            0.068472
