               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1215,            0.030534,            0.049401,           0.0041591,             0.14236,           0.0028558,          0.00054132,             0.09945,            0.017936,            0.034013,               6e-05,               6e-05,             0.09946
                   1,             0.10899,            0.025653,            0.041083,            0.012049,              0.1317,           0.0078759,           0.0015782,            0.089263,            0.015424,            0.032657,          0.00012999,          0.00012999,             0.09883
                   2,            0.095991,            0.027445,            0.034438,            0.023833,             0.16267,            0.017941,           0.0034949,            0.074004,              0.0171,            0.031495,          0.00019996,          0.00019996,              0.0982
                   3,            0.088918,            0.028808,            0.032073,            0.063778,             0.21067,            0.044874,           0.0095116,            0.068187,            0.017895,            0.028766,          0.00026987,          0.00026987,             0.09757
                   4,            0.082021,            0.029736,            0.029502,             0.12478,               0.224,             0.10598,            0.027068,            0.065758,            0.018504,            0.027077,           0.0003397,           0.0003397,             0.09694
                   5,            0.074113,             0.02861,            0.027536,             0.44878,                0.24,             0.10417,            0.022687,             0.06228,            0.021476,            0.027046,          0.00040943,          0.00040943,            0.096309
                   6,            0.069604,            0.028674,             0.02752,             0.51318,             0.22667,             0.15226,            0.042989,            0.058054,            0.026842,            0.026281,          0.00047904,          0.00047904,            0.095679
                   7,            0.065607,            0.026591,            0.026737,             0.58899,             0.24267,             0.19695,            0.064204,            0.054272,            0.023855,            0.025222,          0.00054851,          0.00054851,            0.095049
                   8,            0.065755,            0.025398,            0.025688,             0.23664,             0.62706,             0.30186,             0.10334,            0.049991,            0.018811,            0.024178,           0.0006178,           0.0006178,            0.094418
                   9,            0.062158,            0.024922,            0.024878,             0.36407,             0.57685,             0.39936,             0.14145,            0.050031,            0.015785,            0.022782,           0.0006869,           0.0006869,            0.093787
                  10,            0.061736,            0.024011,            0.024891,              0.4686,             0.45881,             0.39939,             0.16301,            0.050516,            0.013855,            0.022814,          0.00075579,          0.00075579,            0.093156
                  11,            0.061276,            0.022541,            0.022714,             0.44248,             0.54611,             0.46497,             0.19676,             0.04593,            0.013416,            0.021942,          0.00082444,          0.00082444,            0.092524
                  12,            0.061408,            0.021998,            0.021793,             0.50788,             0.48017,             0.47639,             0.13645,            0.048227,            0.012453,            0.021303,          0.00089283,          0.00089283,            0.091893
