               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11024,            0.032845,            0.040376,             0.00522,             0.32157,           0.0045683,          0.00098878,            0.091257,             0.02022,             0.03766,             0.00012,             0.00012,             0.09892
                   1,            0.089628,            0.030101,            0.034506,            0.018052,             0.30123,            0.014952,           0.0033553,            0.079736,            0.018751,            0.032919,          0.00024999,          0.00024999,             0.09775
                   2,            0.078137,            0.031961,            0.031148,            0.073528,             0.27849,            0.063015,            0.021796,            0.069825,            0.018689,              0.0291,          0.00037992,          0.00037992,             0.09658
                   3,            0.067722,            0.032429,            0.028907,             0.41225,             0.41119,              0.3347,             0.12177,            0.062674,            0.017804,            0.027364,          0.00050975,          0.00050975,             0.09541
                   4,            0.059091,            0.031011,             0.02773,             0.44993,             0.63534,             0.46019,               0.185,            0.055523,              0.0169,            0.025625,          0.00063943,          0.00063943,            0.094239
                   5,            0.054991,            0.027623,            0.026345,             0.44711,             0.57765,             0.42903,             0.15611,            0.051887,            0.014232,            0.023766,          0.00076893,          0.00076893,            0.093069
                   6,            0.051229,            0.026122,            0.024981,              0.3678,             0.59183,              0.4236,             0.13816,            0.052033,            0.012247,             0.02192,           0.0008982,           0.0008982,            0.091898
                   7,            0.052632,             0.02305,            0.023954,             0.41026,             0.58526,             0.45549,             0.19879,            0.049208,            0.011593,            0.020192,           0.0010272,           0.0010272,            0.090727
                   8,            0.051505,            0.022622,            0.020638,             0.29541,             0.75808,             0.47248,             0.14037,             0.05152,            0.010583,            0.018195,           0.0011559,           0.0011559,            0.089556
                   9,            0.050159,            0.021547,            0.019205,             0.38947,             0.73958,             0.53237,             0.18615,            0.048646,            0.010429,            0.016799,           0.0012842,           0.0012842,            0.088384
                  10,            0.050718,            0.020961,            0.018954,             0.40342,             0.66087,             0.50942,             0.17627,             0.04488,           0.0097912,            0.015033,           0.0014121,           0.0014121,            0.087212
                  11,            0.048803,            0.020086,            0.018133,             0.49783,             0.77672,             0.67464,             0.30119,            0.045758,           0.0094991,            0.012781,           0.0015396,           0.0015396,             0.08604
                  12,            0.049091,            0.019782,            0.015131,             0.59739,             0.71474,             0.73973,             0.35086,            0.045841,           0.0093719,            0.010949,           0.0016666,           0.0016666,            0.084867
                  13,            0.046699,              0.0198,            0.013906,             0.54341,             0.81668,             0.63641,             0.20267,            0.052521,           0.0085498,           0.0088958,           0.0017931,           0.0017931,            0.083693
                  14,            0.046726,            0.018543,            0.012071,             0.74806,             0.76733,             0.81791,             0.36716,            0.039941,           0.0091348,           0.0074776,            0.001919,            0.001919,            0.082519
                  15,            0.045228,            0.018092,            0.010649,             0.74576,             0.80094,             0.81092,             0.28181,            0.039444,            0.009064,           0.0070186,           0.0020443,           0.0020443,            0.081344
