               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10202,            0.032704,            0.038351,            0.031348,             0.18646,            0.020434,           0.0041865,            0.074166,            0.020576,            0.029643,             0.00043,             0.00043,             0.09613
                   1,            0.071405,            0.033372,            0.031856,             0.60221,             0.45089,             0.35817,             0.16259,            0.053017,            0.016555,            0.025641,          0.00086995,          0.00086995,             0.09217
                   2,            0.054891,            0.028524,             0.02849,              0.5733,             0.61765,             0.52542,             0.29133,            0.042796,            0.011975,            0.022157,           0.0013097,           0.0013097,             0.08821
                   3,            0.049656,            0.024563,            0.025008,              0.3087,             0.60479,             0.33975,             0.12027,            0.052034,           0.0092197,            0.020571,           0.0017491,           0.0017491,            0.084249
                   4,            0.050709,            0.021885,            0.022868,             0.44835,             0.69201,             0.58492,             0.24294,            0.040653,           0.0088555,            0.017448,           0.0021881,           0.0021881,            0.080288
                   5,            0.050595,            0.021258,            0.020961,             0.48232,             0.75087,             0.63201,             0.30624,              0.0387,           0.0082539,             0.01485,           0.0026264,           0.0026264,            0.076326
                   6,            0.046165,            0.019319,            0.018396,             0.58262,             0.82591,             0.77017,             0.43056,            0.038831,           0.0072546,            0.011667,           0.0030639,           0.0030639,            0.072364
                   7,            0.044415,            0.018428,            0.015829,             0.64625,             0.87045,             0.78325,             0.43112,            0.034134,           0.0066491,           0.0081206,           0.0035005,           0.0035005,              0.0684
                   8,            0.042351,            0.018245,            0.011692,             0.78393,             0.90946,             0.86522,             0.56536,            0.030437,           0.0062983,           0.0062385,            0.003936,            0.003936,            0.064436
                   9,            0.040644,            0.016861,           0.0098389,              0.7945,             0.90345,             0.89625,             0.54035,            0.033831,           0.0062992,           0.0047511,           0.0043703,           0.0043703,             0.06047
                  10,            0.041007,            0.016106,           0.0084975,             0.87154,             0.88433,             0.94778,             0.54878,            0.030835,           0.0059044,           0.0047261,           0.0048032,           0.0048032,            0.056503
                  11,            0.042823,            0.016107,           0.0075669,             0.76712,             0.95345,             0.90085,             0.47519,            0.033348,           0.0055605,           0.0042924,           0.0052347,           0.0052347,            0.052535
                  12,            0.042909,            0.016501,           0.0073217,             0.76994,             0.91022,             0.92888,             0.58231,            0.036894,           0.0054432,           0.0035751,           0.0056645,           0.0056645,            0.048564
                  13,             0.04249,            0.015772,           0.0073102,             0.79693,             0.88552,             0.89211,             0.54469,            0.032909,           0.0056727,           0.0041136,           0.0060925,           0.0060925,            0.044592
                  14,            0.039362,            0.015349,           0.0062029,              0.8506,             0.92744,             0.96061,             0.69156,             0.02882,           0.0052859,           0.0029402,           0.0065186,           0.0065186,            0.040619
                  15,            0.037108,            0.015586,           0.0055956,             0.91523,             0.94593,             0.96604,             0.63862,            0.027002,           0.0052021,           0.0029606,           0.0069426,           0.0069426,            0.036643
                  16,            0.037001,            0.015566,           0.0058418,             0.90622,             0.94098,             0.95099,             0.69178,            0.026064,           0.0052975,           0.0028781,           0.0073644,           0.0073644,            0.032664
                  17,             0.03626,            0.014489,           0.0056217,              0.9348,             0.93289,             0.96525,             0.64461,            0.025889,           0.0055104,           0.0032467,           0.0077838,           0.0077838,            0.028684
                  18,            0.035532,            0.015604,           0.0050912,             0.96985,             0.92133,             0.96852,              0.7003,            0.026831,           0.0054436,           0.0032027,           0.0082008,           0.0082008,            0.024701
                  19,            0.037135,            0.015594,            0.005292,             0.91163,             0.91033,             0.93742,             0.68385,            0.028226,           0.0053185,           0.0025984,           0.0086151,           0.0086151,            0.020715
                  20,            0.037895,            0.015263,           0.0053692,             0.82711,             0.92068,             0.92126,             0.62242,            0.030112,           0.0054793,           0.0033226,           0.0090267,           0.0090267,            0.016727
                  21,            0.035175,            0.014503,           0.0051603,             0.82036,             0.91362,             0.91696,             0.50871,            0.034035,           0.0056438,           0.0029258,           0.0094354,           0.0094354,            0.012735
                  22,            0.035899,            0.015232,           0.0066376,             0.91587,             0.83267,             0.93492,             0.60478,            0.030676,           0.0062915,           0.0046714,            0.009734,            0.009734,            0.009734
                  23,            0.036571,            0.015834,           0.0063115,             0.87473,              0.8633,             0.91523,             0.56763,            0.032207,           0.0064372,           0.0059406,            0.009734,            0.009734,            0.009734
                  24,            0.034937,            0.016892,           0.0054077,             0.93434,             0.88179,              0.9438,             0.62165,            0.029445,           0.0058719,           0.0032184,           0.0097095,           0.0097095,           0.0097095
                  25,            0.033385,            0.015599,           0.0052963,              0.8448,             0.83223,             0.91377,             0.58405,            0.029293,           0.0065689,           0.0061733,            0.009684,            0.009684,            0.009684
                  26,            0.033715,            0.016049,            0.005503,             0.94876,             0.90669,              0.9505,             0.67099,            0.025502,           0.0060169,           0.0041993,           0.0096575,           0.0096575,           0.0096575
                  27,             0.03297,            0.015642,           0.0049101,             0.95344,             0.91744,             0.95267,             0.70635,            0.026506,           0.0055728,           0.0055026,           0.0096299,           0.0096299,           0.0096299
                  28,             0.03159,            0.015729,           0.0043931,             0.92563,             0.90515,             0.95407,              0.6778,            0.025076,           0.0056892,           0.0029144,           0.0096013,           0.0096013,           0.0096013
                  29,            0.031586,            0.014561,           0.0042383,             0.94346,             0.94396,              0.9723,             0.68617,            0.028156,           0.0052217,           0.0026533,           0.0095717,           0.0095717,           0.0095717
                  30,            0.031481,            0.015015,           0.0045351,             0.92928,             0.94755,             0.96602,             0.66078,            0.025684,           0.0054612,           0.0017696,           0.0095411,           0.0095411,           0.0095411
                  31,            0.031695,            0.016009,           0.0043541,             0.95887,              0.9472,             0.97534,             0.72072,             0.02458,           0.0049749,           0.0023129,           0.0095095,           0.0095095,           0.0095095
                  32,            0.029057,            0.015191,           0.0044681,              0.9432,             0.94828,             0.97709,             0.73149,            0.023652,           0.0050084,           0.0021007,           0.0094769,           0.0094769,           0.0094769
