               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11177,            0.029029,            0.043285,            0.027653,              0.1257,            0.016346,           0.0028546,            0.084268,            0.018745,            0.034759,             0.00043,             0.00043,             0.09613
                   1,            0.086906,            0.028477,            0.032744,              0.1558,             0.30816,             0.15338,            0.041558,            0.066019,            0.017527,            0.026625,          0.00086995,          0.00086995,             0.09217
                   2,            0.071449,            0.028696,            0.029273,             0.53393,             0.34255,             0.21831,            0.079857,            0.056447,            0.016341,            0.023352,           0.0013097,           0.0013097,             0.08821
                   3,            0.062735,            0.026203,            0.026208,             0.35027,             0.60325,             0.36762,             0.15023,            0.052903,            0.012881,            0.020971,           0.0017491,           0.0017491,            0.084249
                   4,            0.058511,            0.023165,            0.024261,             0.35677,             0.54286,              0.4638,             0.16488,            0.051511,             0.01066,            0.019074,           0.0021881,           0.0021881,            0.080288
                   5,            0.056969,            0.022191,            0.021364,             0.33214,             0.59704,             0.43264,             0.12293,            0.050253,           0.0098936,            0.016215,           0.0026264,           0.0026264,            0.076326
                   6,            0.055101,            0.021548,            0.019506,             0.42774,             0.61559,             0.56753,             0.27769,            0.044121,           0.0095456,            0.014103,           0.0030639,           0.0030639,            0.072364
                   7,            0.052797,            0.020699,            0.018318,             0.41254,             0.61439,             0.54419,             0.25258,            0.041904,            0.009582,            0.012234,           0.0035005,           0.0035005,              0.0684
                   8,            0.052081,            0.020766,            0.016563,             0.54565,             0.71712,              0.7109,             0.35104,            0.043025,           0.0091097,            0.011504,            0.003936,            0.003936,            0.064436
                   9,            0.048875,            0.019589,            0.014644,             0.58882,             0.75485,             0.68857,             0.29906,            0.043026,           0.0090453,           0.0085152,           0.0043703,           0.0043703,             0.06047
                  10,            0.048861,            0.019848,            0.013503,             0.62505,             0.77008,             0.68882,             0.30805,            0.041914,           0.0085111,           0.0070724,           0.0048032,           0.0048032,            0.056503
                  11,            0.050895,            0.019724,            0.011967,             0.77007,             0.75628,             0.79598,             0.38249,            0.039066,           0.0089247,           0.0072524,           0.0052347,           0.0052347,            0.052535
                  12,             0.05084,            0.019044,            0.010514,              0.7635,             0.84256,             0.83001,             0.44131,            0.043472,           0.0083862,           0.0051015,           0.0056645,           0.0056645,            0.048564
                  13,            0.049897,            0.018441,            0.010165,             0.60791,             0.80231,             0.66642,             0.30979,            0.047286,           0.0083687,           0.0052486,           0.0060925,           0.0060925,            0.044592
                  14,            0.046417,            0.018987,           0.0096922,             0.71413,             0.75281,              0.7825,             0.43599,            0.035612,           0.0082274,           0.0078688,           0.0065186,           0.0065186,            0.040619
                  15,            0.045336,            0.018119,           0.0095494,             0.77063,              0.7899,             0.84861,             0.40847,            0.037695,           0.0078599,            0.004902,           0.0069426,           0.0069426,            0.036643
                  16,            0.045842,            0.018258,           0.0088123,             0.80802,             0.74734,               0.834,             0.41839,            0.040255,           0.0080121,           0.0050675,           0.0073644,           0.0073644,            0.032664
                  17,            0.043066,            0.018277,           0.0089982,             0.79198,             0.78787,             0.86727,             0.47206,            0.035741,           0.0079675,           0.0059727,           0.0077838,           0.0077838,            0.028684
                  18,            0.045218,            0.018229,           0.0078815,             0.83127,             0.86506,             0.87265,             0.44986,            0.036317,            0.008211,           0.0043877,           0.0082008,           0.0082008,            0.024701
                  19,            0.046082,            0.018166,           0.0075283,             0.86379,             0.82794,               0.866,             0.42011,            0.040222,           0.0078691,           0.0048933,           0.0086151,           0.0086151,            0.020715
                  20,            0.043883,            0.018779,           0.0079592,             0.74076,             0.82666,             0.81239,             0.37999,            0.040817,           0.0078077,           0.0043205,           0.0090267,           0.0090267,            0.016727
