               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10022,            0.033373,            0.037776,            0.016453,            0.042762,           0.0098284,           0.0017199,            0.072546,            0.019047,            0.029992,             0.00043,             0.00043,             0.09613
                   1,            0.075124,            0.033055,              0.0309,             0.30871,             0.50328,             0.29822,             0.10642,            0.055521,            0.017108,            0.023597,          0.00086995,          0.00086995,             0.09217
                   2,            0.057149,            0.029625,            0.026409,             0.54431,             0.57188,             0.48883,             0.23324,             0.04291,            0.013896,            0.020579,           0.0013097,           0.0013097,             0.08821
                   3,            0.051338,            0.025899,            0.024311,             0.32376,             0.63499,             0.38613,             0.12484,            0.045471,            0.010764,            0.018628,           0.0017491,           0.0017491,            0.084249
                   4,             0.05264,            0.022102,            0.023054,              0.4539,             0.56537,             0.49587,             0.22278,            0.039521,            0.010083,             0.01604,           0.0021881,           0.0021881,            0.080288
                   5,            0.051354,            0.022346,            0.019869,             0.40735,             0.75696,             0.65265,             0.35246,            0.039916,            0.009252,            0.011769,           0.0026264,           0.0026264,            0.076326
                   6,            0.048819,             0.02044,            0.016777,             0.53884,             0.76185,             0.73935,              0.3348,            0.041488,           0.0085353,            0.009281,           0.0030639,           0.0030639,            0.072364
                   7,            0.047307,            0.020089,            0.013744,             0.71391,             0.77474,             0.79595,             0.34643,            0.036272,           0.0080724,           0.0065171,           0.0035005,           0.0035005,              0.0684
                   8,            0.045828,            0.019351,            0.011697,             0.83414,             0.79442,             0.88338,             0.52569,             0.03385,           0.0078708,           0.0044712,            0.003936,            0.003936,            0.064436
                   9,            0.045099,            0.019614,            0.010014,             0.72404,             0.85333,             0.88006,             0.50008,            0.037387,           0.0075019,           0.0038069,           0.0043703,           0.0043703,             0.06047
                  10,            0.043124,            0.018215,           0.0082537,             0.88471,             0.84794,              0.9287,             0.58112,            0.030822,           0.0069003,           0.0032834,           0.0048032,           0.0048032,            0.056503
                  11,            0.044705,            0.018036,           0.0078742,             0.71807,             0.80872,             0.77968,             0.41672,            0.033413,           0.0066916,           0.0033048,           0.0052347,           0.0052347,            0.052535
                  12,            0.045304,            0.017703,           0.0074244,             0.67441,             0.87843,             0.81385,              0.4407,            0.037743,            0.006521,           0.0030572,           0.0056645,           0.0056645,            0.048564
                  13,            0.044553,            0.018107,           0.0073921,             0.71101,             0.92586,             0.89656,             0.51569,            0.033212,           0.0067363,           0.0032547,           0.0060925,           0.0060925,            0.044592
                  14,            0.042782,            0.017649,           0.0066463,             0.89847,             0.80654,               0.908,              0.5555,            0.032322,           0.0065414,           0.0035889,           0.0065186,           0.0065186,            0.040619
                  15,             0.04057,            0.017096,           0.0063985,             0.91139,             0.87428,             0.95073,             0.57473,            0.028203,           0.0065793,           0.0028017,           0.0069426,           0.0069426,            0.036643
                  16,            0.039326,            0.016698,           0.0060168,             0.68613,             0.91959,             0.85028,             0.49722,            0.036606,           0.0060443,           0.0027816,           0.0073644,           0.0073644,            0.032664
                  17,            0.039087,            0.016672,           0.0075495,             0.87901,             0.94731,             0.96615,             0.61686,            0.027501,           0.0059716,           0.0019126,           0.0077838,           0.0077838,            0.028684
